Fecha;Oferta;NumPedido;Cliente;Destino;Serie;L;A;H;EstBase;EstCubierta;EstPilar;Cubierta;PanelGrosor;PanelTipo;Base;Acabado;Suministro;Perfilado;ColorPanel;ColorEstructura;ColorCarpinteria;Notas;FolderPath;Impreso;Enviado;Entregado;TipoRegistro;Revision;RevHecha;NotasRev;FechasRev;Favorito;Carpeta;Modulo;Cantidad;Conjunto;Adosamiento
14/4/2026;OF 26540-1 26540-2 26540-3;7655/26;RENT ANDAMIOS SLU;MALLORCA 6;36967-36970;4300;2440;2500;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;REMATES ADO PRO;;2;2;true;0;3;{"3":true};{};{"3":"14/4/2026"};false;yellow;M2;4;true;{"placed":[{"key":"k0","poolId":"1776180769540_0","modulo":"M2","l":2440,"a":4300,"x":0,"y":0},{"key":"k_1776180956337_01uu04vp9753","poolId":"1776180769540_1","modulo":"M2","l":2440,"a":4300,"x":2450,"y":0},{"key":"k_1776180957711_dsdwjrwcch","poolId":"1776180769540_2","modulo":"M2","l":2440,"a":4300,"x":4900,"y":0},{"key":"k_1776180959007_w51fkm96ii8","poolId":"1776180769540_3","modulo":"M2","l":2440,"a":4300,"x":7350,"y":0}],"faceMap":{"k0":{"E":"cerrado"},"k_1776180956337_01uu04vp9753":{"W":"cerrado","E":"cerrado"},"k_1776180957711_dsdwjrwcch":{"W":"cerrado","E":"cerrado"}}};false;false;true
14/4/2026;OF 26900-1;8534/26;HERA CUNI;TARRAGONA 9;36971;8000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;KIT;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{"1":true,"3":false};{};{"1":"15/4/2026","3":"14/4/2026"};false;yellow;M1;1;false;;false;false;true
14/4/2026;OF 26400;9450/26;PREFABRI;EL VISO 19;36963;5840;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;yellow;M1;1;false;;false;false;true
14/4/2026;OF 26707;9413/26;ALGECO;PONTEVEDRA 1;36887;2300;2350;2500;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#E7D69D;#E7D69D;#E7D69D;;;2;2;true;0;0;{};{};{};false;orange;M1;1;false;;false;false;true
10/4/2026;OF 25861-1 26877-1 26877-2 26877-3;10026/26;PREFABRI;MÁLAGA 8;36945;4000;2400;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;yellow;M1;1;false;;false;false;true
10/4/2026;OF 25861-1/26877-1/26877-2/26877-3;10026/26;PREFABRI;MÁLAGA 8;36946-36954;4000;2400;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;yellow;M1;9;false;;false;false;true
10/4/2026;OF 25861-1/26877-1/26877-2/26877-3;10026/26;PREFABRI;MÁLAGA 8;36955-36956;4000;2400;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;yellow;M1;2;true;{"placed":[{"key":"k0","poolId":"1775821679813_0","modulo":"M1","l":4000,"a":2400,"x":0,"y":2410},{"key":"k_1775823685374_0ktf3atsmlu","poolId":"1775821679813_1","modulo":"M1","l":4000,"a":2400,"x":0,"y":0}],"faceMap":{"k0":{"E":"abierto"},"k_1775823685374_0ktf3atsmlu":{"E":"abierto"}}};false;false;true
10/4/2026;OF 25861-1/26877-1/26877-2/26877-3;10026/26;PREFABRI;MÁLAGA 8;36957-36959;4000;2400;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;yellow;M1;3;true;{"placed":[{"key":"k0","poolId":"1775821682989_0","modulo":"M1","l":2400,"a":4000,"x":0,"y":0},{"key":"k_1775823712595_y4658rl9ijc","poolId":"1775821682989_1","modulo":"M1","l":2400,"a":4000,"x":2410,"y":0},{"key":"k_1775823713987_ulvzajijszp","poolId":"1775821682989_2","modulo":"M1","l":2400,"a":4000,"x":4820,"y":0}],"faceMap":{"k_1775823713987_ulvzajijszp":{"N":"abierto","W":"abierto"},"k_1775823712595_y4658rl9ijc":{"N":"abierto","E":"abierto","W":"abierto"},"k0":{"N":"abierto","E":"abierto"}}};false;false;true
10/4/2026;OF 27009;8659/26;SISMOHA;CALATAYUD 10;36944;4000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;KIT;GOF;#F5F5F5;#F5F5F5;#F5F5F5;ESTRUCTURA KIT REMATES ADOSAMIENTO CC;;2;2;true;0;0;{};{};{};false;green;M1;1;false;;false;false;true
9/4/2026;OF 26828;9445/26;ALGECO;ABADIÑO 2;36884;3840;2350;2500;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;yellow;M1;1;false;;false;false;true
